time (min),uvrD,lexA,umuDC,recA,uvrA,uvrY,ruvA,polB
6,0.0223877964,0.4160059625,0.0714768934,0.6595970064,0.6478754416,0.0007942563,0.0000000000,0.0032528787
12,0.0332401335,0.5874122943,0.1016132091,0.8795998287,0.9052863687,0.0052299198,0.0000000000,0.0095778226
18,0.0489850189,0.7005208310,0.0914845669,1.0000000000,0.9576892036,0.0129718240,0.0000000000,0.0177029631
24,0.0442252142,0.6370257503,0.0895957275,0.9427650349,0.8396374028,0.0038808748,0.0000000000,0.0188994192
30,0.0373304874,0.5377472403,0.0969654205,0.8646650761,0.6859618173,0.0021238969,0.0000000000,0.0212499945
36,0.0432016335,0.4632300345,0.0701984097,0.7032286231,0.5398689323,0.0000000000,0.0000000000,0.0219348807
42,0.0467570440,0.3672793744,0.0596697728,0.5864879406,0.4333455346,0.0000000000,0.0000000000,0.0203304918
48,0.0405820430,0.3097714252,0.0615431769,0.5203534241,0.3212508766,0.0033679819,0.0000000000,0.0236058619
54,0.0453334686,0.2548200024,0.0570113736,0.4629103032,0.2075879922,0.0154701371,0.0000000000,0.0215856020
60,0.0428722001,0.2010544513,0.0461731487,0.3819389379,0.1350513554,0.0270810088,0.0000000000,0.0196597178
66,0.0365053605,0.1736889920,0.0341953580,0.3388475565,0.1200530974,0.0263890665,0.0000000000,0.0142167910
72,0.0374574978,0.1509602960,0.0332895265,0.2906991307,0.1084431077,0.0245972490,0.0000000000,0.0148015682
78,0.0366076744,0.1367770217,0.0338690116,0.2675744092,0.1224671779,0.0192972089,0.0000000000,0.0131491094
84,0.0384277165,0.1357318315,0.0346218132,0.2741141242,0.1323457683,0.0121180315,0.0000000000,0.0131261769
90,0.0363201369,0.1333349504,0.0332101449,0.2834467461,0.1193135262,0.0086702271,0.0000000000,0.0142675069
96,0.0345000948,0.1182577518,0.0336996644,0.2610673287,0.1079138975,0.0072118120,0.0000000000,0.0148209726
102,0.0269822230,0.1182529007,0.0296736978,0.2731580176,0.1028956618,0.0078151116,0.0043055660,0.0135720365
108,0.0196623639,0.1224217540,0.0257707726,0.3056224172,0.0982787438,0.0149347528,0.0044784413,0.0166560090
114,0.0186828840,0.1064837069,0.0273451729,0.2740664953,0.0804381860,0.0151874507,0.0026694244,0.0160319819
120,0.0252084868,0.0859781348,0.0273425269,0.2539371033,0.0754049561,0.0207741463,0.0000000000,0.0152430177
126,0.0303744603,0.0887220897,0.0254435443,0.2738067412,0.0866643440,0.0168407915,0.0000000000,0.0150891058
132,0.0330284495,0.0852372405,0.0198925703,0.2334721040,0.0759407814,0.0143856972,0.0000000000,0.0117003965
138,0.0220499839,0.0709353349,0.0178083642,0.2024965491,0.0562457829,0.0107090094,0.0000000000,0.0102874052
